Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
51402798195,Chuột Công Thái Học Không Dây AJAZZ I300 Vertical Wireless Dual-Mode BT + 2.4G Ergonomic Cao Cấp,"229,0k",146,AJAZZ Việt Nam,14%,₫32.060,https://shopee.vn/product/1686716527/51402798195,https://s.shopee.vn/8ARxuXJe2j
19243722392,Củ sạc nhanh BASEUS PD 20W GaN5 1C thích hợp cho i14 13 12 pro max,"224,7k",100k+,Baseus Official Mall,9%,₫20.219,https://shopee.vn/product/131195741/19243722392,https://s.shopee.vn/8KlO6qJ0hm
29142399421,PMO WAVE75  QMK bàn phím cơ nhôm CNC kết nối 3 chế độBảo hành mới chính hãng 12 tháng,"2,5tr",410,ELECFOX VN,9%,₫220.500,https://shopee.vn/product/1624525230/29142399421,https://s.shopee.vn/8V4oJ9INMp
46456098642,Điện thoại thông minh POCO X8 PRO| Pin cực lớn 6500mAh(typ) sạc nhanh 100W| Màn hình AMOLED 1.5K 120Hz,"9,5tr",2k+,Xiaomi Official Store,7%,₫664.300,https://shopee.vn/product/1524999479/46456098642,https://s.shopee.vn/8fOEVSHk1s
54550668253,[HỎA TỐC] Bàn phím cơ AULA WIN60/68 HE -Rapid Trigger - Switch Nam Châm 1k - 8k Polling Rate,"483,6k",222,JAHUWNG Store,9%,₫43.520,https://shopee.vn/product/123692417/54550668253,https://s.shopee.vn/8phehlH6gv
26694271221,Chuột Gaming SMAILWOLF M3 3 Mode 2.4G/Bluetooth/Type-C 1000Hz PAW3311 Pin 500mAh Nhẹ 65g | Glavicy Store,"365,0k",25,Glavicy Store,7%,₫25.550,https://shopee.vn/product/360475141/26694271221,https://s.shopee.vn/9014u4GTLy
54352792940,Bàn Phím Không Dây AJAZZ AF84 Retro Typewriter Wireless Keyboard Office Gõ Êm Pin Lâu,"509,0k",58,AJAZZ Việt Nam,14%,₫71.260,https://shopee.vn/product/1686716527/54352792940,https://s.shopee.vn/9AKV6NFq11
53705086215,"Chuột Gaming Không Dây Aula SC650, 3 Mode Kết Nối, Màn Hình Đa Nhiệm, Paw 3311, Polling Rate 1000Hz","474,5k",76,Gọn Gàng Shop,10%,₫47.450,https://shopee.vn/product/1198566548/53705086215,https://s.shopee.vn/9KdvIgFCg4
45452818881,Bàn Phím Không Dây AJAZZ 308I 84 Phím Thiết Kế Mèo Dễ Thương Keycap Tròn Round Keypad Cute Portable,"449,0k",52,AJAZZ Việt Nam,14%,₫62.860,https://shopee.vn/product/1686716527/45452818881,https://s.shopee.vn/9UxLUzEZL7
22046369288,"Bộ Nút Bàn Phím | Keycap Gradient Ninja | Side Print | PBT Double Shot | OEM Profile, Xuyên Led, Full 126-132 Phím","248,0k",664,Zgaming | Phím Cơ & Keycap,9%,₫22.320,https://shopee.vn/product/969598649/22046369288,https://s.shopee.vn/9fGlhIDw0A
